,pclass,survived,name,sex,age,ticket,ticketPrice
0,1,False,"allen, miss. elisabeth walton",female,29,24160,211.3375
1,1,True,"allison, master. hudson trevor",male,0,113781,151.55
2,1,False,"allison, miss. helen loraine",female,2,113781,151.55
3,1,False,"allison, mr. hudson joshua creighton",male,30,113781,151.55
4,1,False,"allison, mrs. hudson j c (bessie waldo daniels)",female,25,113781,151.55
5,1,True,"anderson, mr. harry",male,48,19952,26.55
6,1,True,"andrews, miss. kornelia theodosia",female,63,13502,77.9583
7,1,False,"andrews, mr. thomas jr",male,39,112050,0.0
8,1,True,"appleton, mrs. edward dale (charlotte lamson)",female,53,11769,51.4792
9,1,False,"artagaveytia, mr. ramon",male,71,PC 17609,49.5042
10,1,False,"astor, col. john jacob",male,47,PC 17757,227.525
11,1,True,"astor, mrs. john jacob (madeleine talmadge force)",female,18,PC 17757,227.525
12,1,True,"aubart, mme. leontine pauline",female,24,PC 17477,69.3
13,1,True,"barber, miss. ellen ""nellie""",female,26,19877,78.85
14,1,True,"barkworth, mr. algernon henry wilson",male,80,27042,30.0
15,1,False,"baxter, mr. quigg edmond",male,24,PC 17558,247.5208
16,1,True,"baxter, mrs. james (helene delaudeniere chaput)",female,50,PC 17558,247.5208
17,1,True,"bazzani, miss. albina",female,32,11813,76.2917
18,1,False,"beattie, mr. thomson",male,36,13050,75.2417
19,1,True,"beckwith, mr. richard leonard",male,37,11751,52.5542
20,1,True,"beckwith, mrs. richard leonard (sallie monypeny)",female,47,11751,52.5542
21,1,True,"behr, mr. karl howell",male,26,111369,30.0
22,1,True,"bidois, miss. rosalie",female,42,PC 17757,227.525
23,1,True,"bird, miss. ellen",female,29,PC 17483,221.7792
24,1,False,"birnbaum, mr. jakob",male,25,13905,26.0
25,1,True,"bishop, mr. dickinson h",male,25,11967,91.0792
26,1,True,"bishop, mrs. dickinson h (helen walton)",female,19,11967,91.0792
27,1,True,"bissette, miss. amelia",female,35,PC 17760,135.6333
28,1,True,"bjornstrom-steffansson, mr. mauritz hakan",male,28,110564,26.55
29,1,False,"blackwell, mr. stephen weart",male,45,113784,35.5
30,1,True,"blank, mr. henry",male,40,112277,31.0
31,1,True,"bonnell, miss. caroline",female,30,36928,164.8667
32,1,True,"bonnell, miss. elizabeth",female,58,113783,26.55
33,1,False,"borebank, mr. john james",male,42,110489,26.55
